Time (s);Magnetic Field x (µT);Magnetic Field y (µT);Magnetic Field z (µT);Absolute field (µT)
1,922458708;-50,58233643;-32,88781738;2,520858765;60,38655496
1,932390708;-50,38656616;-32,3961792;1,963638306;59,93475079
1,942321708;-50,27352905;-32,72006226;2,237976074;60,02531744
1,952253708;-50,36834717;-32,36967468;2,093612671;59,90951051
1,962185708;-50,34405518;-32,72403717;2,542144775;60,09866055
1,972116708;-50,16403198;-32,5480423;1,949859619;59,82981794
1,982048708;-50,29342651;-32,7530899;2,519897461;60,07115391
1,991980708;-50,15692139;-32,61062622;2,409896851;59,87468003
2,001911708;-50,38470459;-32,92991638;2,09324646;60,22773058
2,011843708;-50,20910645;-32,64636993;2,377883911;59,93658459
2,021775708;-50,49581909;-32,69975281;2,514022827;60,2114764
2,031706708;-50,13482666;-32,56903839;2,560638428;59,83978589
2,041638708;-50,39450073;-32,95882416;2,502029419;60,26732071
2,051570708;-50,35864258;-32,98406982;2,287750244;60,24263893
2,061501708;-50,33905029;-32,93758392;2,196228027;60,19740723
2,071433708;-50,23773193;-32,80807495;1,992477417;60,03473543
2,081365708;-50,34054565;-32,91507721;2,459396362;60,19652378
2,091297708;-50,24139404;-32,69309235;2,211486816;59,98271948
2,101228708;-50,19699097;-33,00429535;2,707275391;60,13610192
2,111160708;-50,22067261;-32,82382202;2,497924805;60,04797147
2,121092708;-50,40576172;-33,09439087;2,427871704;60,34794182
2,131023708;-50,16445923;-32,89167786;2,474075317;60,03712594
2,140955708;-50,10327148;-32,89348602;2,375396729;59,98301214
2,150887708;-50,07293701;-32,84450531;2,426849365;59,93288036
2,160818708;-50,32809448;-33,15994263;2,139022827;60,3081612
2,170750708;-50,28518677;-33,14689636;2,04473877;60,26190922
2,180682708;-50,28768921;-33,15098572;2,524841309;60,28444545
2,190613958;-50,44241333;-32,80260468;2,274765015;60,21314219
2,200545958;-50,32156372;-32,74303436;2,503051758;60,08852921
2,210477958;-50,19592285;-32,88142395;2,285186768;60,05031882
2,220409958;-50,29086304;-32,88006592;2,194671631;60,12558709
2,230340958;-50,04711914;-32,70115662;2,317993164;59,8285289
2,240272958;-50,17788696;-32,97055817;2,394989014;60,08838505
2,250204958;-50,25009155;-32,50988007;2,618728638;59,90677543
2,260135958;-50,50445557;-32,73196411;2,740066528;60,24607432
2,270067958;-50,32717896;-32,6648941;2,614517212;60,05544062
2,279999958;-50,22161865;-32,90683746;2,519348145;60,09507506
2,289930958;-50,24029541;-32,72516632;2,540542603;60,01231666
2,299862958;-50,48092651;-32,76110077;2,170715332;60,21898098
2,309794958;-50,49890137;-32,62239075;2,414169312;60,16799507
2,319725958;-50,50646973;-32,92873383;2,25894165;60,33496344
2,329657958;-50,20593262;-32,8529129;2,054412842;60,03474134
2,339589958;-50,21899414;-32,94606018;2,342651367;60,1072231
2,349520958;-50,37576294;-32,86882782;1,588973999;60,17143984
2,359452958;-50,45596313;-33,00514984;2,263366699;60,33462489
2,369384958;-50,4916687;-33,03398895;2,731750488;60,39963158
2,379316958;-50,18209839;-32,87358856;2,479553223;60,04218524
2,389247958;-50,20306396;-32,84984589;2,200775146;60,0358511
2,399179958;-50,44094849;-32,73579407;2,268432617;60,1753046
2,409111958;-50,42712402;-32,90883636;2,148117065;60,25363686
2,419042958;-50,50357056;-32,73690796;2,545837402;60,23949759
2,428974958;-50,39376831;-32,86573029;2,481002808;60,21497726
2,438906958;-50,32254028;-32,81798553;2,129470825;60,11582887
2,448837958;-50,23144531;-32,88947296;2,748214722;60,10381198
2,458769958;-50,26263428;-32,94324493;2,707962036;60,15748374
2,468701958;-50,22564697;-33,00260925;2,726074219;60,15994774
2,478632958;-50,25750732;-32,84640503;2,295761108;60,08305822
2,488564958;-50,28820801;-33,00281525;2,438720703;60,19997539
2,498496958;-50,52844238;-33,11823273;2,205490112;60,45498338
2,508427958;-50,42697144;-33,24315643;2,325698853;60,44332695
2,518359958;-50,3397522;-33,11366272;2,226852417;60,29563982
2,528291958;-50,47406006;-33,22023773;2,450302124;60,47494452
2,538223958;-50,38354492;-32,97183228;2,464538574;60,26373099
2,548154958;-50,45153809;-33,11182404;2,628173828;60,40412141
2,558086958;-50,24688721;-33,07873535;2,658538818;60,21644489
2,568018958;-50,4770813;-32,95098114;2,155822754;60,31874059
2,577949958;-50,53936768;-32,83054352;2,017196655;60,30042583
2,587881958;-50,53936768;-32,83054352;2,017196655;60,30042583
2,597813958;-50,56356812;-33,06288147;2,116790771;60,45088382
2,607744958;-50,54605103;-33,10105896;2,168960571;60,45897591
2,617676958;-50,61737061;-33,32704926;2,403060913;60,65134064
2,627608958;-50,65335083;-32,95067596;2,240493774;60,46923854
2,637539958;-50,76196289;-33,10417938;2,406860352;60,65028067
2,647471958;-50,75946045;-32,9776535;2,654510498;60,58956083
2,657403958;-50,57611084;-32,99769592;2,333099365;60,43371804
2,667334958;-50,12414551;-33,02005768;2,595046997;60,07901831
2,677266958;-50,24008179;-33,02507782;2,487091064;60,17397448
2,687198958;-50,27746582;-33,01101685;2,415786743;60,19457474
2,697130958;-50,10739136;-33,08415985;1,855300903;60,07290939
2,707061958;-50,15567017;-32,69316864;2,075698853;59,90611865
2,716993958;-50,29623413;-32,87221527;2,157165527;60,12442987
2,726925958;-50,32427979;-32,97683716;2,105911255;60,2033204
2,736856958;-50,50473022;-33,36988068;2,532455444;60,5862199
2,746788958;-50,51593018;-32,93183136;2,302429199;60,34621694
2,756720958;-50,54464722;-33,16820526;2,595901489;60,51140312
2,766651958;-50,56982422;-32,70410156;1,726501465;60,24820485
2,776583958;-50,6317749;-32,96656799;1,96762085;60,45033306
2,786515958;-50,40267944;-32,99346161;2,031341553;60,27540919
2,796446958;-50,40032959;-33,06449127;1,941833496;60,30940659
2,806378958;-50,3253479;-32,95371246;2,063430786;60,19007853
2,816310958;-50,41055298;-32,91190338;2,440322876;60,25257182
2,826241958;-50,26971436;-32,79315948;2,224411011;60,06149761
2,836173958;-50,46298218;-32,98439789;2,437026978;60,33591115
2,846105958;-50,38699341;-32,96944427;1,81628418;60,24227958
2,856037958;-50,50430298;-32,95067596;2,056427002;60,33788659
2,865968958;-50,53378296;-32,85590363;2,436035156;60,32501878
2,875900958;-50,38543701;-32,87239838;2,08744812;60,19671318
2,885832958;-50,45397949;-32,90157318;2,290252686;60,27738234
2,895763958;-50,43615723;-33,03085327;2,473144531;60,34036516
2,905695958;-50,37060547;-32,84570313;2,995330811;60,2080569
2,915627958;-50,45928955;-32,852211;2,773544312;60,275204
2,925558958;-50,52261353;-32,80328369;2,352508545;60,28369759
2,935490958;-50,59921265;-32,8423233;2,421905518;60,37188209
2,945422958;-50,34262085;-32,78229523;2,208679199;60,1160263
2,955353958;-50,48468018;-32,98600769;2,468276978;60,35620952
2,965285958;-50,30587769;-32,86081696;2,490539551;60,13915038
2,975217958;-50,36990356;-32,83097076;2,24508667;60,16677024
2,985148958;-50,27835083;-32,71772766;1,954910278;60,01819674
2,995080958;-50,46963501;-32,87314606;1,815246582;60,25879944
3,005012958;-50,37884521;-32,96107483;2,107528687;60,24036999
3,014944958;-50,31390381;-33,35871887;2,611846924;60,42445519
3,024875958;-50,40551758;-32,81412506;1,940155029;60,17679958
3,034807958;-50,46002197;-32,90818024;1,993286133;60,2754953
3,044739958;-50,30291748;-32,77078247;1,797744751;60,06279695
3,054670958;-50,39117432;-32,83969879;2,166595459;60,18646361
3,064602958;-50,26168823;-32,72754669;2,136108398;60,01576939
3,074534958;-50,19454956;-33,07229614;2,156921387;60,14916365
3,084465958;-50,23440552;-32,86404419;1,901901245;60,05962143
3,094397958;-50,46289063;-32,95098114;2,145690918;60,30650444
3,104329958;-50,23513794;-32,95362091;2,408126831;60,12744207
3,114260958;-50,41549683;-33,14787292;2,711791992;60,39749676
3,124192958;-50,23898315;-33,07666016;2,406066895;60,19808995
3,134124958;-50,3164978;-32,98189545;2,507110596;60,21495646
3,144055958;-50,29690552;-32,74616241;2,285140991;60,06090015
3,153987958;-50,31411743;-32,72900391;2,497787476;60,07442927
3,163919958;-50,32373047;-32,76493073;2,157333374;60,08887269
3,173851958;-50,36270142;-32,93802643;1,734649658;60,20236115
3,183782958;-50,50244141;-32,89936066;1,914138794;60,30363544
3,193715083;-50,38470459;-32,85248566;1,916778564;60,1795506
3,203647083;-50,29751587;-32,74010468;1,940185547;60,04597303
3,213578083;-50,4977417;-32,83860779;1,955932617;60,26791643
3,223510083;-50,34832764;-32,5512085;2,234558105;59,99607087
3,233442083;-50,43618774;-33,08318329;2,166656494;60,35727339
3,243373083;-50,18722534;-32,66908264;1,858810425;59,91228358
