Time (s);Magnetic Field x (µT);Magnetic Field y (µT);Magnetic Field z (µT);Absolute field (µT)
2,385537792;-26,33267784;43,50416183;7,269552231;51,36991735
2,395601792;-26,5081768;43,64395905;7,484584808;51,60908455
2,405665792;-26,39926338;43,75118637;7,413188934;51,6337369
2,415729792;-26,36125755;43,71205902;7,580219269;51,60542343
2,425793792;-26,35535622;43,67850494;7,657907486;51,58546445
2,435856792;-26,13275719;43,63454437;7,691143036;51,43975255
2,445920792;-26,30550575;43,68984604;7,467283249;51,54165887
2,455984792;-26,18169594;43,61650848;7,874891281;51,47713014
2,466048792;-26,06149864;43,67123032;7,488042831;51,40475517
2,476112792;-26,30128288;43,79579163;7,693939209;51,66261265
2,486176792;-26,39792061;43,51774216;7,714046478;51,47961352
2,496240792;-26,4423008;43,66784668;7,581716537;51,60967478
2,506304792;-26,37796211;43,46484756;7,707151413;51,42363311
2,516367792;-26,38303185;43,33972168;7,499708176;51,28977937
2,526431792;-26,20019341;43,43093872;7,675209045;51,2991755
2,536495792;-26,53848839;43,40280151;7,81347847;51,46984545
2,546559792;-26,54116631;43,5356102;7,777162552;51,5777774
2,556623792;-26,51959419;43,64179993;7,682369232;51,64217631
2,566687792;-26,24410057;43,62514496;7,420772552;51,44875074
2,576751792;-26,45482445;43,68894958;7,587312698;51,63476897
2,586815792;-26,37930107;43,5243988;7,416772842;51,43198747
2,596878792;-26,22054863;43,28501511;7,628616333;51,17915093
2,606942792;-26,0790081;43,32915497;7,671354294;51,15056217
2,617006792;-26,27311516;43,319767;7,676509857;51,24263456
2,627070792;-25,94003105;43,53487015;7,588531494;51,24213052
2,637134792;-25,99083138;43,67411804;7,558635712;51,38175626
2,647198792;-25,98134041;43,54500961;7,728067398;51,29250371
2,657262792;-26,1745472;43,61610413;7,586221695;51,4297795
2,667326792;-26,13845253;43,45604706;7,327213287;51,23802085
2,677389792;-26,32864189;43,44552612;7,605319977;51,36683771
2,687453792;-26,1635685;43,50999069;7,359306335;51,30117929
2,697517792;-26,04447365;43,33745956;7,741548538;51,15057754
2,707581292;-25,87924767;43,31425095;7,666152954;51,03557285
2,717645292;-26,13254356;43,39131546;7,627077103;51,22390453
2,727709292;-26,2044735;43,16138458;7,703620911;51,07764017
2,737773292;-26,21086311;43,50466919;7,344198227;51,31864022
2,747837292;-25,98014641;43,40679169;7,401626587;51,12633028
2,757900292;-26,03880501;43,20160294;7,307304382;50,96856443
2,767964292;-25,90223885;43,21268463;7,650489807;50,95872923
2,778028292;-25,96754265;43,33345795;7,341083527;51,048931
2,788092292;-26,34283257;43,32328415;7,469259262;51,25077181
2,798156292;-26,21788597;43,20221329;7,605817795;51,10437596
2,808220292;-26,23913002;43,40947723;7,691152573;51,30329898
2,818284292;-26,34124947;43,38597488;7,534004211;51,31242987
2,828348292;-26,3713932;43,48204803;7,602870941;51,41928167
2,838411292;-26,26267052;43,31354904;7,612449646;51,22246365
2,848475292;-26,09293938;43,33958054;7,731496811;51,17554855
2,858539292;-26,31199837;43,18239975;7,965326309;51,19069573
2,868603292;-26,06941795;43,07299805;7,733880997;50,93830217
2,878667292;-26,24991798;43,24107742;7,291091919;51,10781733
2,888731292;-25,96785927;43,09741592;7,442062378;50,86355539
2,898795292;-26,15482903;43,27114868;7,763114929;51,1540159
2,908859292;-25,95377541;43,15587997;8,05008316;50,99835559
2,918922292;-26,46786308;43,53294754;7,705846786;51,52713239
2,928986292;-26,25325203;43,49464417;7,625383377;51,37279226
2,939050292;-26,19351387;43,43733215;7,624675751;51,29364165
2,949114292;-26,30732918;43,55025101;7,648532867;51,45094738
2,959178292;-26,20577049;43,50642395;7,843547821;51,39136673
2,969242292;-25,93133354;43,10623932;7,922748566;50,92496315
2,979306292;-26,07535744;43,37057114;7,889574051;51,21695115
2,989370292;-26,07705879;43,29277039;7,384469986;51,07648539
2,999434292;-26,24910164;43,3883667;7,523557663;51,26567684
3,009497292;-25,87360954;43,28850174;7,81206131;51,03299281
3,019561292;-25,96479988;43,11487579;7,822431564;50,93381768
3,029625292;-25,78083992;43,2261734;7,869768143;50,94199667
3,039689292;-26,06567574;43,27721786;7,809425354;51,12068233
3,049753292;-25,9879818;43,09905624;7,41428566;50,87116549
3,059817292;-26,13524055;43,49643707;7,482616425;51,29308321
3,069881292;-26,15125847;43,05514908;7,6212883;50,9481915
3,079944292;-25,99584389;43,48347473;7,638017654;51,23412718
